UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
105516,419509,405997,372222,380465,139579,443924,406006,434946,447661,450492,405979,106102,434955,474960,405988,450474,447652,474951,443881,421018,260901,474702,442152,421009,432232,134237,262086,220552,445027,128498
105589,153278,245847,148131,181604,177968,232609,170000,218724,238458,160065,220613,217688,450766,164085,195234,233541,164173,15336601,157076,114549,213826,215053,237640,102395,185758,230825,106713,172705,169628,15178601
105899,155414,154721,181330,235769,209287,216357,220206,166984,239071,168290,240338,214971,455257,237118,161572,181738,201061,168227,144971,143288,107877,177746,156189,202514,141185,202046,217633,181020,150604,198950
106102,432241,447652,450474,443881,443890,136066,105516,450492,443924,406006,447661,405979,434955,448309,434946,405988,377564,474960,421018,442143,175078,229018,474951,420042,474702,159416,474979,448840,220552,445717
106245,226091,10236801,10236802,10236808,10236803,171146,151342,224147,229179,22870501,139366,224554,138354,160038,168430,100706,151102,217420,226833,226152,100830,138789,377564,151379,151360,101480,219602,178387,159416,152266
106263,218335,229337,435000,240444,170976,134130,181428,159373,209490,229300,163259,228653,228644,110699,223214,196255,228909,233921,228635,456959,232423,234076,130943,218663,243780,214777,199193,199120,166708,110422
106306,107600,228884,217624,206817,133526,234164,140720,217721,225575,199971,101912,158802,221856,101675,198862,218399,229887,102058,225885,447069,199582,176318,220598,232937,102298,11577301,176406,140960,220604,101073
106342,239512,160959,230940,183275,140696,217998,124292,147341,232025,116846,158477,163976,200156,195216,153834,146427,150668,181020,177542,150756,142294,245652,197230,446048,153384,173142,210492,155973,155511,454184
106397,153603,153658,110714,181464,221759,139959,207500,178396,218663,233921,155317,214777,215293,171100,196088,163286,151351,199120,186380,110705,234076,240268,110644,110680,110635,110662,110653,145637,240444,130943
106412,138716,159009,221838,163453,227526,232937,199157,139719,218399,130934,201690,160621,175856,162007,199999,198507,199102,228884,140960,100724,132602,178341,151324,222831,133650,213598,100654,101912,199582,160904
106458,171137,167729,159717,159993,101480,101879,228802,161554,110486,211158,240365,179557,212115,165866,157951,106704,174783,210146,159966,128771,213349,138354,160038,160612,228529,155025,138789,230603,142276,233277
106467,157386,178624,240462,106704,221847,157401,181215,211644,211158,211361,196200,175616,183080,207041,179557,240365,240189,165024,176965,213349,160038,219356,171456,159717,212160,149772,232566,221768,207865,159647
106704,211158,240365,179557,174233,240462,178624,212115,157386,233277,160612,159717,106467,218964,211361,216931,240329,240189,174783,238032,180489,221847,161253,150136,165024,176965,221740,181215,165866,213349,159647
106713,153126,237312,385619,137564,448804,237640,156356,177542,172440,157076,239743,162760,221731,151865,154536,213631,185758,174437,217633,15178601,198835,114549,172705,443340,140234,164474,174507,145275,444990,133553
107044,230995,152600,16822702,173045,186283,219976,215770,201195,166452,129525,211088,130226,202763,221971,147828,137546,130253,123554,216694,173160,167899,140818,151801,216278,102049,215929,212133,10704401,209065,143358
107071,240471,240480,175272,221768,176965,207865,234827,130776,216038,240189,171456,240417,196246,196158,199281,186876,196149,240277,168430,165024,218724,216010,221740,221847,196200,173124,207722,157401,219356,181783
107080,206525,170532,162654,239017,143084,222983,237057,145646,218973,196866,212009,212577,212674,238333,128902,160977,216524,204909,150455,206589,228343,153144,236328,146481,173647,146427,139144,210669,209922,168546
107141,152530,181127,173452,152567,176947,207403,217907,206589,201654,213251,150455,150677,213996,190099,219790,210669,164216,230959,173258,154101,145372,168528,139393,150400,156408,203535,150941,191630,151777,201371
107512,10704401,154527,156295,216278,179946,153108,209065,239628,168591,218539,150941,154101,150455,203085,220215,220710,145372,156745,210669,239716,231581,233295,203128,198613,206589,219790,150400,150756,181127,151777
107558,231420,155414,154721,152992,237358,143288,161572,144971,237118,153250,200156,202514,180106,155511,239071,216357,107877,235769,150941,155973,154101,219091,228981,177542,156189,212197,134079,181853,181330,233301
107600,217721,101912,228884,199582,234164,11577301,133526,218399,101073,140720,218919,199643,106306,220701,102377,139630,132602,158802,101675,229887,139205,221856,198862,199971,228468,220598,225885,209409,217873,210331
107877,143288,156189,239071,181330,144971,216357,230898,198808,217998,152992,155937,154721,237118,197230,107558,155414,161572,202514,194392,155973,232025,161299,233611,177144,171599,235769,105899,173452,173142,204185
107983,221768,171456,115755,170639,207865,200253,161226,188304,126182,155025,144892,196200,240471,157401,149772,240727,181215,139931,130776,215275,240480,180461,176080,219356,217688,174358,156365,221847,107071,168263
